Palestine,Jerusalem
Western Sahara,El-Aaiún
Afghanistan,Kabul
Albania,Tirana
Algeria,Algiers
Argentina,Buenos Aires
Australia,Canberra
Austria,Vienna
Azerbaijan,Baku
Bahrain,Manama
Bangladesh,Dhaka
Belarus,Minsk
Belgium,Brussels
Belize,Belmopan
Bermuda,Hamilton
Bhutan,Thimphu
Bosnia and Herzegovina,Sarajevo
Brazil,Brasilia
Bulgaria,Sofia
Myanmar,Rangoon
Canada,Ottawa
Chile,Santiago
China,Beijing
Costa Rica,San Jose
Croatia,Zagreb
Cuba,Havana
Czech Republic,Prague
Denmark,Copenhagen
Djibouti,Djibouti
Ecuador,Quito
Egypt,Cairo
Eritrea,Asmara
Estonia,Tallinn
Ethiopia,Addis Ababa
Falkland Islands,Stanley
Faroe Islands,Torshavn
Finland,Helsinki
France,Paris
Georgia,Tbilisi
Germany,Berlin
Ghana,Accra
Greece,Athens
Greenland,Nuuk
Guatemala,Guatemala City
Guinea-Bissau,Bissau
Vatican City,Vatican City
Hungary,Budapest
Iceland,Reykjavik
India,New Delhi
Indonesia,Jakarta
Iran,Tehran
Iraq,Baghdad
Ireland,Dublin
Israel,Jerusalem
Italy,Rome
Jamaica,Kingston
Japan,Tokyo
Jordan,Amman
Kazakhstan,Astana
Kenya,Nairobi
North Korea,Pyongyang
South Korea,Seoul
Kuwait,Kuwait City
Kyrgyzstan,Bishkek
Latvia,Riga
Lebanon,Beirut
Liberia,Monrovia
Libya,Tripoli
Luxembourg,Luxembourg
Malaysia,Kuala Lumpur
Mali,Bamako
Malta,Valletta
Mexico,Mexico City
Monaco,Monaco
Mongolia,Ulaanbaatar
Morocco,Rabat
Nepal,Kathmandu
Netherlands,Amsterdam
New Zealand,Wellington
Nigeria,Abuja
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
Palau,Melekeok
Panama,Panama City
Paraguay,Asuncion
Peru,Lima
Philippines,Manila
Pitcairn Islands,Adamstown
Poland,Warsaw
Portugal,Lisbon
Puerto Rico,San Juan
Qatar,Doha
Romania,Bucharest
Russia,Moscow
Serbia,Belgrade
Singapore,Singapore
Slovakia,Bratislava
Slovenia,Ljubljana
South Africa,Pretoria
South Sudan,Juba
Spain,Madrid
Sri Lanka,Colombo
Sudan,Khartoum
Swaziland,Mbabane
Sweden,Stockholm
Switzerland,Bern
Syria,Damascus
Taiwan,Taipei
Tajikistan,Dushanbe
Thailand,Bangkok
Trinidad and Tobago,Port of Spain
Tunisia,Tunis
Turkey,Ankara
Turkmenistan,Ashgabat
Uganda,Kampala
Ukraine,Kyiv
United Arab Emirates,Abu Dhabi
United Kingdom,London
United States,Washington
Uruguay,Montevideo
Uzbekistan,Tashkent
Venezuela,Caracas
Vietnam,Hanoi
Yemen,Sanaa
Zimbabwe,Harare
